PLAYER,POS,CAP HIT
Aaron Gordon,PF,21590909
Aaron Holiday,PG,1911960
Abdel Nader,SF,1378242
Al Horford,C,28928709
Alec Burks,SG,11536515
Alex Abrines,SG,5455236
Alex Len,C,4350000
Al-Farouq Aminu,PF,6957105
Alfonzo McKinnie,PF,1349383
Alize Johnson,PF,838464
Allen Crabbe,SG,18500000
Amir Johnson,C,1512601
Andre Drummond,C,25434263
Andre Iguodala,SF,16000000
Andre Roberson,SG,10000000
Andrew Wiggins,SF,25467250
Anfernee Simons,SG,1835520
Ante Zizic,C,1952760
Anthony Davis,PF,25434263
Anthony Tolliver,PF,5750000
Antonio Blakeney,SG,1349383
Aron Baynes,C,5193600
Austin Rivers,SG,12650000
Avery Bradley,SG,12000000
Ben McLemore,SG,5460000
Ben Simmons,PG,6434520
Bismack Biyombo,C,17000000
Blake Griffin,PF,32088932
Boban Marjanovic,C,7000000
Bobby Portis,PF,2494346
Bogdan Bogdanovic,SG,9000000
Bojan Bogdanovic,SF,10500000
Brad Wanamaker,PG,838464
Bradley Beal,SG,25434263
Brandon Ingram,SF,5757120
Brandon Knight,PG,14631250
Brook Lopez,C,3382000
Bruce Brown,SG,838464
Bryn Forbes,SG,3125000
Buddy Hield,SG,3833760
CJ McCollum,SG,25759766
CJ Miles,SF,8333333
Caleb Swanigan,PF,1740000
Cameron Payne,PG,3263295
Caris LeVert,SG,1702800
Carmelo Anthony,SF,1512601
Cedi Osman,SF,2775000
Chandler Hutchison,SF,1991520
Chandler Parsons,SF,24107258
Channing Frye,PF,1512601
Cheick Diallo,PF,1544951
Chimezie Metu,PF,838464
Chris Paul,PG,35654150
Christian Wood,PF,1512601
Clint Capela,C,15293103
Cody Zeller,C,13528090
Collin Sexton,PG,4068600
Cory Joseph,PG,7945000
Courtney Lee,SG,12253780
Cristiano Felicio,PF,8470980
D.J. Augustin,PG,7250000
Damian Jones,C,1544951
Damian Lillard,PG,27977689
Damyean Dotson,SG,1378242
D'Angelo Russell,PG,7019698
Daniel Hamilton,SG,1349383
Daniel Theis,PF,1378242
Danilo Gallinari,SF,21587579
Danny Green,SG,10000000
Dante Cunningham,PF,2487000
Dante Exum,PG,9600000
Dario Saric,PF,2526840
Darius Miller,SF,2205000
Darren Collison,PG,10000000
David Nwaba,SG,1512601
Davis Bertans,SF,7000000
De'Aaron Fox,PG,5470920
Deandre Ayton,C,8165160
DeAndre' Bembry,SF,1634640
DeAndre Jordan,C,22897200
De'Anthony Melton,PG,949000
Dejounte Murray,PG,1544951
Delon Wright,PG,2536898
DeMar DeRozan,SG,27739975
DeMarcus Cousins,C,5337000
DeMarre Carroll,SF,15400000
Dennis Schroder,PG,15500000
Dennis Smith Jr.,PG,3819960
Denzel Valentine,SG,2280600
Derrick Favors,PF,16900000
Derrick Jones Jr.,SF,1512601
Derrick Rose,PG,1512601
Derrick White,PG,1667160
Devin Booker,SG,3314365
Devin Harris,PG,1512601
Devonte' Graham,PG,988464
Dewayne Dedmon,C,7200000
Dillon Brooks,SF,1378242
Dion Waiters,SG,11550000
Dirk Nowitzki,PF,5000000
DJ Wilson,PF,2534280
Domantas Sabonis,C,2659800
Donovan Mitchell,SG,3111480
Donte DiVincenzo,SG,2481000
Dorian Finney-Smith,SF,1544951
Doug McDermott,SF,7333334
Dragan Bender,PF,4661280
Draymond Green,PF,17469565
Dwayne Bacon,SF,1378242
Dwight Howard,C,5337000
Dwight Powell,PF,9631250
Dwyane Wade,SG,1512601
Dzanan Musa,SG,1632240
Ed Davis,PF,4449000
Bam Adebayo,C,2955840
Ekpe Udoh,C,3360000
Elfrid Payton,PG,3000000
Elie Okobo,PG,1238464
Emmanuel Mudiay,PG,4294480
Enes Kanter,C,18622513
Eric Bledsoe,PG,15000000
Eric Gordon,SG,13500375
Ersan Ilyasova,PF,7000000
E'Twaun Moore,SG,8808685
Evan Fournier,SG,17000000
Evan Turner,SF,17868852
Frank Jackson,PG,1378242
Frank Kaminsky,PF,3627842
Frank Mason,PG,1378242
Frank Ntilikina,PG,4155720
Fred VanVleet,PG,8653847
Furkan Korkmaz,SG,1740000
Garrett Temple,SG,8000000
Gary Harris,SG,16517857
Gary Trent Jr.,SG,838464
George Hill,PG,19000000
Georges Niang,SF,1512601
Gerald Green,SG,1512601
Giannis Antetokounmpo,PF,24157303
Glenn Robinson III,SG,4075000
Goran Dragic,PG,18109175
Gordon Hayward,SF,31214295
Gorgui Dieng,C,15170787
Grayson Allen,SG,2074320
Greg Monroe,C,1512601
Guerschon Yabusele,PF,2667600
Hamidou Diallo,SG,838464
Harrison Barnes,SF,24107258
Harry Giles III,PF,2207040
Hassan Whiteside,C,25434263
Henry Ellenson,PF,1857480
Ian Clark,SG,1512601
Ian Mahinmi,C,15944154
Ike Anigbogu,C,1378242
Iman Shumpert,SG,11011236
Isaac Bonga,PG,1000000
Isaiah Briscoe,PG,838464
Isaiah Canaan,PG,1512601
Isaiah Hartenstein,PF,838464
Isaiah Thomas,PG,1512601
Ish Smith,PG,6000000
Ivan Rabb,PF,1378242
Ivica Zubac,C,1544951
JJ Redick,SG,12250000
JR Smith,SG,14720000
Jabari Bird,SG,1349383
Jabari Parker,PF,20000000
Jacob Evans,SF,1644240
Jae Crowder,SF,7305825
Jahlil Okafor,C,1567007
Jake Layman,SF,1544951
Jakob Poeltl,C,2947320
Jalen Brunson,PG,1230000
Jamal Crawford,SG,1512601
Jamal Murray,PG,3499800
James Ennis III,SF,1621415
James Harden,SG,30421854
James Johnson,PF,14651700
James Nunnally,SF,1349383
JaMychal Green,PF,7666667
Jared Dudley,SF,9530000
Jarell Martin,PF,2416222
Jaren Jackson Jr.,PF,5915040
Jarred Vanderbilt,PF,838464
Jarrett Allen,C,2034120
Jason Smith,PF,5450000
JaVale McGee,C,1512601
Jaylen Brown,SG,5169960
Jayson Tatum,SF,6700800
Jeff Green,SF,1512601
Jeff Teague,PG,19000000
Jerami Grant,SF,8653847
Jeremy Lamb,SG,7488372
Jeremy Lin,PG,13768421
Jerian Grant,PG,2639314
Jerome Robinson,SG,3046200
Jerryd Bayless,PG,8575916
Jevon Carter,PG,838464
Jimmy Butler,SG,20445779
Jodie Meeks,SG,3454500
Joe Harris,SG,8333333
Joe Ingles,SF,13045455
Joel Embiid,C,25467250
John Collins,PF,2299080
John Henson,PF,11327466
John Wall,PG,19169800
Jon Leuer,PF,10002681
Jonah Bolden,SF,1690000
Jonas Jerebko,PF,1512601
Jonas Valanciunas,C,16539326
Jonathan Isaac,PF,4969080
Jonathon Simmons,SF,6000000
Jordan Bell,C,1378242
