PLAYER,TEAM,TYPE,Exp
Alan Williams,BKN,UFA,4
Alec Burks,UTH,UFA,8
Alex Abrines,OKC,RFA,3
Alex Caruso,LAL,RFA,2
Alex Poythress,ATL,RFA,3
Al-Farouq Aminu,POR,UFA,9
Allonzo Trier,NYK,RFA,1
Amile Jefferson,ORL,RFA,2
Amir Johnson,PHI,UFA,14
Andrew Harrison,CLE,RFA,3
Angel Delgado,LAC,RFA,1
Anthony Tolliver,MIN,UFA,12
Austin Rivers,WAS,UFA,7
Ben McLemore,SAC,UFA,6
Ben Moore,SAS,RFA,2
Boban Marjanovic,DET,UFA,4
Bobby Portis,CHI,RFA,4
Bojan Bogdanovic,IND,UFA,5
Brad Wanamaker,BOS,RFA,1
Brook Lopez,MIL,UFA,11
Cameron Payne,CHI,RFA,4
Carmelo Anthony,HOU,UFA,16
Chandler Parsons,MEM,UFA,8
Channing Frye,CLE,UFA,13
Cheick Diallo,NOP,RFA,3
Chris Boucher,TOR,RFA,1
Christian Wood,MIL,UFA,3
Cory Joseph,IND,UFA,8
D.J. Stephens,MEM,RFA,2
Damion Lee,GSW,RFA,2
D'Angelo Russell,BKN,RFA,4
Daniel Hamilton,ATL,RFA,2
Daniel Theis,BOS,RFA,2
Danny Green,TOR,UFA,10
Dante Cunningham,SAS,UFA,10
Darius Miller,NOP,UFA,5
Darren Collison,IND,UFA,10
Daryl Macon,DAL,RFA,1
David Nwaba,CHI,RFA,3
David Stockton,UTH,UFA,3
Davon Reed,IND,RFA,2
DeAndre Jordan,DAL,UFA,11
Delon Wright,TOR,RFA,4
DeMarcus Cousins,GSW,UFA,9
DeMarre Carroll,BKN,UFA,10
Demetrius Jackson,PHI,RFA,3
Deonte Burton,OKC,RFA,1
Derrick Rose,MIN,UFA,11
DeVaughn Akoon-Purcell,DEN,RFA,1
Devin Harris,DAL,UFA,15
Dewayne Dedmon,ATL,UFA,6
Dirk Nowitzki,DAL,UFA,21
Dorian Finney-Smith,DAL,RFA,3
Dragan Bender,PHX,UFA,3
Drew Eubanks,SAS,RFA,1
Duncan Robinson,MIA,RFA,1
Dwight Howard,WAS,UFA,15
Dwyane Wade,MIA,UFA,16
Ed Davis,DAL,UFA,9
Edmond Sumner,IND,RFA,2
Ekpe Udoh,UTH,UFA,7
Elfrid Payton,NOP,UFA,5
Emmanuel Mudiay,NYK,RFA,4
Enes Kanter,NYK,UFA,8
Frank Kaminsky,CHA,RFA,4
Furkan Korkmaz,PHI,UFA,2
Garrett Temple,MEM,UFA,9
Gary Clark,HOU,RFA,1
George King,PHX,RFA,1
Greg Monroe,TOR,UFA,9
Henry Ellenson,DET,UFA,3
Ian Clark,NOP,UFA,6
Iman Shumpert,SAC,UFA,8
Isaiah Canaan,PHX,UFA,6
Isaiah Hicks,NYK,RFA,2
