PLAYER,YrsLeft
Aaron Gordon,3
Aaron Holiday,1
Abdel Nader,2
Al Horford,3
Alex Len,1
Alfonzo McKinnie,1
Alize Johnson,1
Allen Crabbe,3
Andre Drummond,4
Andre Iguodala,2
Andre Roberson,2
Andrew Wiggins,3
Anfernee Simons,1
Ante Zizic,2
Anthony Davis,4
Antonio Blakeney,1
Aron Baynes,1
Avery Bradley,1
Bam Adebayo,2
Ben Simmons,3
Bismack Biyombo,3
Blake Griffin,4
Bogdan Bogdanovic,2
Bradley Beal,4
Brandon Ingram,3
Brandon Knight,4
Bruce Brown,2
Bryn Forbes,1
Buddy Hield,3
Caleb Swanigan,2
Caris LeVert,3
Cedi Osman,2
Chandler Hutchison,1
Chandler Parsons,3
Channing Frye,1
Chimezie Metu,2
Chris Paul,3
Christian Wood,1
CJ McCollum,3
CJ Miles,2
Clint Capela,4
Cody Zeller,3
Collin Sexton,1
Courtney Lee,3
Cristiano Felicio,3
D.J. Augustin,3
Damian Jones,3
Damian Lillard,4
Damyean Dotson,2
Danilo Gallinari,2
Dante Exum,2
Dario Saric,3
Davis Bertans,1
De'Aaron Fox,2
Deandre Ayton,1
DeAndre' Bembry,3
De'Anthony Melton,1
Dejounte Murray,3
DeMar DeRozan,4
Dennis Schroder,3
Dennis Smith Jr.,2
Denzel Valentine,2
Derrick Favors,1
Derrick Jones Jr.,1
Derrick White,2
Devin Booker,3
Devonte' Graham,2
Dillon Brooks,2
Dion Waiters,3
DJ Wilson,2
Domantas Sabonis,3
Donovan Mitchell,1
Donte DiVincenzo,1
Doug McDermott,2
Draymond Green,4
Dwayne Bacon,2
Dwight Howard,1
Dwight Powell,3
Dzanan Musa,1
Elie Okobo,2
Eric Gordon,3
Ersan Ilyasova,2
E'Twaun Moore,3
Evan Fournier,4
Evan Turner,3
Frank Jackson,2
Frank Mason,2
Frank Ntilikina,2
Fred VanVleet,1
Gary Harris,3
Gary Trent Jr.,2
George Hill,2
Georges Niang,2
Giannis Antetokounmpo,3
Glenn Robinson III,1
Goran Dragic,4
Gordon Hayward,3
Gorgui Dieng,3
